城市,区县,2020占比_无约束,2020占比_约束,2020_CCG,2020_CEADs,2020_均值,2020_差值,2020_SMAPE,2020_差异水平
安徽合肥,瑶海区,0.06988880451266292,0.06760027846046622,381.19797023856904,321.397995028342,351.2979826334555,59.799975210227046,0.17022578598927615,10.179497782300128
安徽合肥,庐阳区,0.06923232735149015,0.0669652978050141,377.61731432247456,284.1871952100104,330.90225476624244,93.43011911246418,0.28234959951682875,26.379956714213865
安徽合肥,蜀山区,0.09299168290590933,0.08994664743203412,507.2091448692404,377.1379986790319,442.1735717741361,130.07114619020848,0.2941630945249014,38.26213087171257
安徽合肥,包河区,0.08702964762422943,0.08417984045854153,474.6901203457157,352.29755489905824,413.493837622387,122.39256544665744,0.2959961051666976,36.22772267357074
安徽合肥,长丰县,0.1869670056233774,0.18084472514864441,1019.7834051132058,787.9225698057691,903.8529874594874,231.8608353074368,0.2565249421359348,59.478087360829726
安徽合肥,肥东县,0.17511761209471205,0.1693833429185293,955.1526707175867,751.3834200752417,853.2680453964142,203.769250642345,0.23881036181037013,48.662208471726416
安徽合肥,肥西县,0.3526267161191695,0.3410798677767705,1923.349374393209,1275.5638310284025,1599.4566027108058,647.7855433648065,0.40500351323500783,262.3554208855951
安徽芜湖,镜湖区,0.053779880283609895,0.05321065163119556,327.8308246997958,134.0300908087018,230.9304577542488,193.800733891094,0.8392168611094711,162.64084357679582
安徽芜湖,弋江区,0.1174039085935115,0.11616125672585334,715.6695026879825,223.66904128160084,469.66927198479164,492.00046140638165,1.0475466264318716,515.3934235491794
安徽芜湖,鸠江区,0.2356640831465586,0.23316971633568903,1436.55862234418,420.0964786501148,928.3275504971475,1016.4621436940653,1.0949391119004483,1112.9641568968057
安徽芜湖,三山区,0.11128106565305217,0.11010322050525954,678.345941532904,223.7150808188774,451.0305111758907,454.63086071402665,1.0079824966358693,458.25995003023877
安徽芜湖,芜湖县,0.16519722536915538,0.1634487091306741,1007.0074969540832,360.10715601160626,683.5573264828447,646.900340942477,0.9463732095024401,612.2091518859546
安徽芜湖,繁昌县,0.17735044920351406,0.17547329818211324,1081.0909900999998,373.7325716892322,727.411780894616,707.3584184107676,0.9724318975708842,687.8578890779222
安徽芜湖,南陵县,0.15002103258230742,0.1484331474892151,914.4966216810542,314.9151350805719,614.705878380813,599.5814866004823,0.9753957261313824,584.8292194976111
安徽蚌埠,龙子湖区,0.1489034950398667,0.15078390823056814,231.15173131746096,263.1332601459753,247.14249573171816,31.98152882851437,0.1294052191786209,4.138576747721285
安徽蚌埠,蚌山区,0.09160724581713381,0.09276409894104637,142.20736367662408,159.33934277815536,150.77335322738972,17.13197910153127,0.1136273667382961,1.9466616723225183
安徽蚌埠,禹会区,0.109520683043392,0.11090375425333432,170.0154552703615,214.50582049167542,192.26063788101845,44.49036522131391,0.2314065203967908,10.295360607046648
安徽蚌埠,淮上区,0.12757648951401965,0.12918757670603834,198.04455509035677,225.72903545889747,211.8867952746271,27.684480368540704,0.13065694033768724,3.617169499792296
安徽蚌埠,怀远县,0.26991664538299653,0.27332526128037476,419.00762554281454,426.00526282136707,422.50644418209083,6.997637278552531,0.016562202482139434,0.11589628550395417
安徽蚌埠,五河县,0.13903544979271104,0.1407912453413335,215.83297910826425,241.8508716258271,228.8419253670457,26.017892517562842,0.11369373193234608,2.9580712973363825
安徽蚌埠,固镇县,0.10096907715405619,0.10224415524730449,156.74028999411777,176.39732768574575,166.56880883993176,19.657037691627977,0.11801151625282902,2.319756823028028
安徽淮南,大通区,0.13889718919203844,0.14187971034134875,759.4820894572398,269.231115462531,514.3566024598854,490.2509739947088,0.9531344045164529,467.27507016205783
安徽淮南,田家庵区,0.18630528751274392,0.19030579654728488,1018.706928917616,348.8453133875125,683.7761211525642,669.8616155301036,0.979650494961704,656.2302632099126
安徽淮南,谢家集区,0.08518612109038991,0.08701531150999244,465.7929625129895,163.7223557173228,314.7576591151562,302.07060679566666,0.9596926335163528,289.894936143616
安徽淮南,八公山区,0.04712184986040156,0.04813369116993995,257.65964883268856,82.37319288875882,170.01642086072368,175.28645594392975,1.030997212248829,180.71984742316874
安徽淮南,潘集区,0.2202595801939791,0.22498918530757495,1204.3671089514487,411.80508177978896,808.0860953656188,792.5620271716598,0.9807890913072386,777.3361904343152
安徽淮南,凤台县,0.30120849457529086,0.30767630512385896,1646.9912613280171,505.94412253691604,1076.4676919324666,1141.0471387911011,1.0599919972913465,1209.5008356507556
安徽马鞍山,金家庄区,0.12234152772991194,0.1210227013524037,745.4998403308068,173.94891158073287,459.72437595576986,571.5509287500739,1.2432469510928499,710.578949562816
安徽马鞍山,花山区,0.11117417153463487,0.10997572786110818,677.4504836244264,141.51875039428504,409.4846170093557,535.9317332301414,1.3087957666011583,701.4251836388304
安徽马鞍山,雨山区,0.22960707326309132,0.22713193771181442,1399.132736304777,309.1149532243759,854.1238447645765,1090.017783080401,1.2761823589889876,1391.0614657514925
安徽马鞍山,当涂县,0.5477745745218876,0.5418696330746737,3337.91693973999,732.167948955077,2035.0424443475335,2605.748990784913,1.2804396281868986,3336.5042689090205
安徽淮北,杜集区,0.1943566401191018,0.1950855130777251,585.0614537200976,285.6304914919457,435.34597260602163,299.4309622281519,0.6878000052136239,205.9486173816433
安徽淮北,相山区,0.13047573568162327,0.1309650435613877,392.7641656406017,179.82042537229358,286.29229550644766,212.9437402683081,0.7437983613621636,158.38720507389772
安徽淮北,烈山区,0.2238328616752747,0.2246722758575038,673.7921552966538,343.4709418177853,508.63154855721956,330.3212134788686,0.6494312325215674,214.5209127976014
