城市,县,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
安徽芜湖,三山区,27.3923304304092,26.129000184495,27.5242436519733,30.1481010283567,29.4070822034126,33.7715010726675,40.7248869965793,45.397147268049196,54.05596485775101,69.1035761330419,81.0320546683313,98.5760137232254,108.380979528707,144.146188875846,188.524682476594,199.975376247959,196.28340944602002,211.706357711715,200.769503445184,207.240011751653,205.140993120869
安徽芜湖,芜湖县,99.166223552711,94.01944010794129,96.0026033350277,106.94873795460799,101.81656829359599,111.447806063175,127.28630744643701,140.082625855695,162.452127658069,192.079277295381,209.602539463377,233.00846845715003,253.843010152035,281.01707482257996,337.318211751962,340.964168477791,334.78427285682,348.666379335531,324.08254204098796,332.595027386341,326.07138221262
安徽芜湖,繁昌县,82.4389398062725,78.5772182914264,80.6666683396143,87.0150482843992,83.334609804923,92.3853405646697,110.331628252613,123.835225780814,148.059597817836,185.109904834627,209.095913209807,237.505123111586,258.676903605194,290.298185568596,346.80032907675604,357.140243972332,349.850274123671,353.26258622121,341.714848888144,364.315869902185,352.24158677318604
安徽芜湖,南陵县,60.3417115014137,60.1433902327423,64.1766036866214,69.0435525375686,67.4181356390403,75.82378161844659,90.5371454717342,102.308558454711,117.827533341943,130.95675672223499,138.84373938134001,154.112618611133,167.97779749724998,187.798006450512,224.54230683959202,235.69301945402802,231.874621850535,251.518198900666,258.300476676356,276.429476371398,281.709905918073
安徽蚌埠,龙子湖区,77.5928922779419,74.53076822976399,76.39988596916871,80.3399212927193,76.4584137288728,81.3443012671876,98.1520262014665,112.27545093762099,128.111603138016,141.18599694689001,144.951400327164,153.64543371196999,167.97779749724998,189.769817524757,219.458738235805,221.579664995703,217.304912390121,229.23028810010302,223.652079056464,242.864491291822,238.93234259797097
安徽蚌埠,蚌山区,54.4852911293385,51.445251852331296,52.1281895340105,55.638283771310306,55.8123732264175,60.447837630342306,70.3429866304552,76.5493751427156,86.9753239537236,95.3230297857983,96.6248849171175,100.24035992649101,109.176027794029,117.45874588821901,145.404483539511,146.018936511132,143.215635571956,149.485819153011,142.798749273286,152.80443378778298,145.662727345701
安徽蚌埠,禹会区,68.0879033034557,63.7575272536288,64.9110498323539,68.32836035988859,65.6380036599613,70.02538346389639,81.4287384110324,88.655281080862,100.721869510284,111.70667553023199,116.01741206768399,120.358509646663,131.087557986305,147.545863141785,161.232048199527,166.139513636334,165.796912764861,181.214418076436,190.87192437396402,204.78404096551702,195.40783129321198
安徽蚌埠,淮上区,64.5890195667846,61.3711592685458,71.0139475671307,74.9484725686701,72.5840088332303,78.491415274214,91.73617365293521,99.3275928947543,112.94389215737499,125.13957890217,131.272491480756,141.52782538995098,154.143957680646,165.088182354034,179.475209288293,189.191325918265,185.861281510833,212.47778369525497,207.71008388808002,210.97952181531002,204.710772516448
安徽蚌埠,怀远县,170.341377212053,163.708302281015,169.77946735515198,179.84332529506898,176.180709105905,196.812083047734,224.36551895946,246.28236836195302,281.649147681398,307.467355214157,322.439464494756,340.02300942149304,370.524293570705,402.82740377120103,440.828321407786,452.74917340539605,446.34358106101405,444.153755427256,428.728188195372,451.06935708282793,433.111501985084
安徽蚌埠,五河县,78.22905295733669,78.5599257697954,80.9114837215252,86.7032978479746,83.36951435353231,88.5691424182245,105.030661556777,113.91384422248301,129.53276856209598,141.21409925519902,149.201431676563,157.96689402922098,172.112048476925,189.259866384866,212.96907618841797,216.911401597949,214.575307454715,227.24182321949402,227.516323044278,228.358868580111,224.77067740852
安徽蚌埠,固镇县,66.14200004883641,63.9823300348322,65.6280091650927,69.39197949592551,66.4931651008914,71.21099842201531,82.3332684424646,89.1559012512365,101.884641220895,111.959596305018,113.315405381974,124.913562413495,136.048659161915,147.51186639912598,166.24350944723201,172.038172038147,169.164607165686,176.211565403826,158.45480237898,161.916244773961,162.016197993975
安徽淮南,大通区,96.7899763090894,89.88652743812379,92.6451352402508,99.4667274804176,94.8880153946317,103.07440042146001,118.19893596786099,131.617593883908,150.695213695222,168.529542932026,169.83237855808,179.544996559275,195.709080991685,216.083296343131,254.142376511285,258.853396001023,254.420449628695,269.552385582157,256.203304053338,257.245522701942,246.738792964256
安徽淮南,田家庵区,132.340131922325,122.50022323425699,125.712698611205,131.83375808567902,125.46439997645899,133.214955684889,151.39308456321402,163.771062099323,186.069313069151,206.973500699412,214.30290526039403,232.71647789517397,254.70166227858303,294.683765371658,329.386402582934,330.614375208352,328.793321764824,331.04816096674,310.076997109114,327.710952462114,327.483515367885
安徽淮南,谢家集区,81.18532905570049,75.0322513570641,75.8752815793598,79.56971433214079,75.7254182080755,80.380989113716,91.2733908461559,98.7359508752208,112.11703227427401,122.10452960474501,123.56051406529201,128.242254820026,139.67407925178398,150.231605811878,161.232048199527,161.833131122127,159.699613428629,174.378683458991,157.305333573251,160.547197625221,152.956656587546
安徽淮南,八公山区,57.048644455135,52.724898453028004,53.3172928175773,55.9133576858026,53.211984355017805,56.483437614132306,64.1374899031872,69.3814045214447,78.7842432367508,85.6839380356424,85.8168581742765,89.0279223465979,96.96408643868159,103.792055339141,110.07187905929301,110.48223374683701,108.227063218114,104.97260657641301,93.4201876737268,92.9829246889917,87.96503755039299
安徽淮南,潘集区,142.42514975155402,132.166742826006,135.31295894470801,143.295171189525,136.459332788417,144.922903396313,164.83482154194002,178.903444522007,208.26533305615297,239.487871413494,265.134406035318,281.624897026217,307.33385744290496,333.236071547415,378.671780465034,390.360909081928,387.462103168682,416.26262490507804,382.473405102607,385.882821423178,376.668568906541
