城市,区县,2020_CEADs,2020_CCG,2020_均值,2020_CCG五年期,2020_差异水平
四川成都,锦江区,216.3681875723951,111.91234452817841,164.14026605028675,261.43096594033705,66.4737751962415
四川成都,青羊区,248.07527602145393,126.22268998848885,187.1489830049714,303.456473866092,79.33814271663306
四川成都,金牛区,420.58941979681964,213.2982475147004,316.94383365576005,511.7548687682429,135.57490489865643
四川成都,武侯区,507.43318081916476,254.97118315254482,381.2021819858548,619.7031078551154,167.20014542882518
四川成都,成华区,400.74546222655044,201.415860303514,301.08066126503223,486.654217953379,131.96560030078132
四川成都,龙泉驿区,823.7027741178437,411.47356881401157,617.5881714659276,891.9912288013584,275.15571955024745
四川成都,青白江区,398.88792165643156,218.06516719760134,308.47654442701645,490.2486180825654,105.99466676084434
四川成都,新都区,909.4848271218618,470.18454794801704,689.8346875349395,1067.9745560682204,279.7550467806006
四川成都,温江区,489.6914323801625,249.57370011524543,369.63256624770395,560.436348649484,155.9833483649509
四川成都,金堂县,441.214793995733,233.6489371254144,337.43186556057367,478.7070961009449,127.6808426694825
四川成都,双流县,1323.9164043090839,716.0384258430493,1019.9774150760666,1584.8325637572852,362.2782536576024
四川成都,郫县,751.609758245063,400.5136327926562,576.0616955188596,891.695131638684,213.98487395809929
四川成都,大邑县,261.91778652440695,134.74426227959106,198.331024401999,281.10240363220146,81.54601791429947
四川成都,蒲江县,142.27957021814822,73.07769776428269,107.67863399121546,159.82558757843435,44.47399612732603
四川成都,新津县,365.5723753430394,187.76745770810479,276.6699165255721,426.05828281843424,114.26825558840191
四川成都,都江堰市,483.64568735337957,243.5071682967106,363.5764278250451,539.9300524236969,158.60904041468717
四川成都,彭州市,536.1122344917603,259.7460219481867,397.9291282199735,627.377445549093,191.93941337578616
四川成都,邛崃市,303.29663652315156,153.53660694770548,228.41662173542852,320.48882292751296,98.18929239053615
四川成都,崇州市,489.09752398922234,248.30247973199647,368.7000018606094,514.3322275887622,157.26133183140072
四川德阳,旌阳区,633.2549923554568,305.6872788313745,469.4711355934156,582.4473270236122,228.55634523252712
四川德阳,什邡市,297.59416075461723,134.01371909604234,215.8039399253298,239.449368791913,123.99477462030185
四川德阳,广汉市,532.4063521479917,252.54692999712697,392.47664107255935,475.38631951087154,199.5565798580512
四川德阳,中江县,264.4893222103728,120.87110320537299,192.6802127078729,213.18947879377083,107.04883776228723
四川眉山,东坡区,473.8617562796905,407.6871758562989,440.7744660679947,546.0293942594799,9.934956380927018
四川眉山,彭山区,245.03860256265082,212.89514439019354,228.96687347642217,314.7897086059638,4.512451463381252
四川眉山,仁寿县,334.52507366653765,284.5229377330326,309.5240056997851,406.4887380774235,8.077608042904863
四川眉山,青神县,62.63916236450512,47.579384008365,55.10927318643506,82.68976176636397,4.115404015015963
四川资阳,雁江区,312.0252410194866,105.3838287865052,208.7045349029959,267.1153802980807,204.59868430500498
四川资阳,乐至县,112.0866644313326,39.38038563340933,75.73352503237096,107.02470106913461,69.80003868012021
