城市,区县,2005_SMAPE,2005_差值,2005_差异水平,2010_SMAPE,2010_差值,2010_差异水平,2015_SMAPE,2015_差值,2015_差异水平,2020_SMAPE,2020_差值,2020_差异水平,平均差值,平均SMAPE,平均差异水平
重庆,渝中区,0.03566689066499702,4.606840521962297,0.16431167720790707,0.18414355950478942,32.26307529703442,5.9410375257669585,0.3663795849652298,61.106050726291954,22.388009503963126,0.14822719348226113,22.80772902533127,3.380725663128761,30.195923892654985,0.18360430715431933,7.968521092516688
重庆,大渡口区,0.035666890664997127,6.940219797857736,0.24753606072124038,0.1841435595047894,55.39034108966888,10.199774570436023,0.3663795849652298,111.89732361594426,40.99689498512967,0.2247823600084355,76.20332156313805,17.129162461443872,62.60780151665223,0.20274309878586294,17.1433420194327
重庆,江北区,0.03566689066499709,13.12889630729427,0.4682669091443488,0.18414355950478928,102.90374406333922,18.94906171819311,0.36637958496522977,218.11040215116333,79.91119861674257,0.16832760978090125,109.47754557001235,18.428093570479874,110.90514702295229,0.18862941122897933,29.439155203639974
重庆,沙坪坝区,0.0356668906649971,17.833317620691673,0.6360589897713762,0.18414355950478944,176.37387614071815,32.478113356208695,0.36637958496522993,389.67599412854156,142.76932899972846,0.12817439959549204,133.922239123321,17.16540259211558,179.4513567533181,0.17859110868262712,48.26222598445603
重庆,九龙坡区,0.035666890664996995,19.72159153214625,0.7034078489167909,0.18414355950478928,159.39709627427408,29.351948682672415,0.3663795849652299,335.1050283074609,122.77564119104913,0.16412706253194112,155.3371940950625,25.4950373687766,167.39022755223593,0.18757927441673933,44.58150877285373
重庆,南岸区,0.03566689066499718,19.445968594934925,0.6935772357505128,0.18414355950478942,146.86832864684925,27.04485681555005,0.3663795849652298,300.65109320207716,110.15242274671967,0.0739270104049642,59.440839941193985,4.394283592812459,131.60155759626383,0.16502926138499516,35.57128509770817
重庆,北碚区,0.03566689066499717,13.360008708061628,0.4765099698738442,0.18414355950478944,117.0630498700275,21.556406689553544,0.3663795849652299,275.3097035846856,100.86785493625759,0.13321893006920832,100.05250200969806,13.328887268479289,126.4463160431182,0.1798522413010562,34.057414716041066
重庆,渝北区,0.03566689066499705,34.216618919531925,1.2204004059288145,0.18414355950478933,283.94143896680134,52.285987262258686,0.36637958496522993,591.8677421784023,216.84825773363076,0.08405229377166201,142.8800433690035,12.009395379359288,263.22646085843473,0.16756058222666959,70.59101019529439
重庆,巴南区,0.035666890664997036,15.253418450644403,0.5440420081465824,0.18414355950478925,118.93337307565241,21.9008146620617,0.36637958496523,249.56708392372946,91.43628462895872,0.08368693765289142,57.45792915366985,4.808478134747422,110.30295115092403,0.16746924319697692,29.672404858478604
重庆,涪陵区,0.035666890664996995,15.900533172792905,0.5671225781891623,0.18414355950478947,125.99504210201951,23.201175532621683,0.36637958496523,284.4808460307803,104.22797429931477,0.0839484826421234,67.41254157176343,5.659180575998604,123.44724071933904,0.16753462944428496,33.41386324653105
重庆,长寿区,0.03566689066499702,12.601617644802843,0.4494605187392802,0.18414355950478933,124.40047167671071,22.90754565862424,0.36637958496522977,269.93269584302334,98.89782907151249,0.12121643277956506,88.48560636566947,10.725909555983227,123.85509788255159,0.1768516169786453,33.24518620121481
重庆,江津区,0.03566689066499701,12.118849518755496,0.43224168077100394,0.1841435595047893,104.42637898073917,19.229445131709422,0.3663795849652299,228.78125674802862,83.82078189516643,0.1019763285932985,64.71810776334769,6.599715023211646,102.51114825271775,0.1720415909320787,27.520545932714626
重庆,合川区,0.035666890664997,10.533589643862513,0.37570039013758894,0.1841435595047894,86.15475997193948,15.864844169513685,0.3663795849652299,197.77899099152052,72.46218463431522,0.09800488984522175,54.20638505673503,5.312490796392991,87.16843141601439,0.17104873124505948,23.50380499758987
重庆,永川区,0.035666890664997127,14.049922022944884,0.5011170326441104,0.1841435595047894,111.76380078742272,20.580584100780204,0.36637958496523,242.6660207171244,88.90787595550394,0.09090353249711362,63.0828964230285,5.734458125002824,107.89065998763013,0.1692733919080325,28.93100880348277
重庆,南川区,0.035666890664997127,5.5843603800227015,0.1991767711082115,0.1841435595047894,49.275822917432635,9.07382542954372,0.36637958496523,109.11949604291331,39.97915567181763,0.09933260685271418,30.086535916469415,2.988574043750721,48.516553814209516,0.17138066049693265,13.060182979055071
重庆,綦江区—万盛经开区,0.035666890664996974,7.517144827921356,0.2681131826904185,0.1841435595047894,59.07104124432857,10.877551798384888,0.36637958496523,132.60156566529372,48.58250659419,0.11008084638948962,39.462003084591174,4.3440106997764465,59.662938705533705,0.1740677203811265,16.01804556876044
重庆,大足区,0.035666890664997036,8.302926990530324,0.29613958917069794,0.18414355950478944,64.67002160988602,11.908567972496066,0.3663795849652299,160.12627652932684,58.6669987368424,0.13580266739321967,71.12285325308369,9.658673184385297,76.05551959570673,0.180498175632059,20.132594870723615
重庆,璧山区,0.03566689066499702,10.090196223131102,0.35988592547878295,0.18414355950478936,83.49314617931901,15.374725131713506,0.3663795849652298,228.08098593549187,83.56421696550593,0.13929439160894844,91.48179021335443,12.74290031106666,103.2865296378241,0.18137110668599116,28.01043208344122
重庆,铜梁区,0.035666890664997015,7.97252185461852,0.28435506531297805,0.18414355950478944,65.37738743765465,12.038824833893432,0.36637958496522993,181.67865853021402,66.56335150933955,0.15334740091489996,83.53903373284038,12.810493697873225,84.64190038883189,0.1848843590124791,22.924256276604797
