城市,A1997,A1998,A1999,A2000,A2001,A2002,A2003,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011,A2012,A2013,A2014,A2015,A2016,A2017,B2005,B2010,B2015,B2020
内蒙古赤峰,1532.91825022185,1045.540524510324,1197.45599345951,1199.7144921781478,1317.9465335468115,1336.14159816901,1585.8085299334361,1856.2194778110215,2672.760157951787,2977.8926095863194,3474.209690582506,3960.6586263317568,4186.662447378069,4787.023947706309,5615.91286897612,5584.794951162654,5596.805284816409,5641.503730074436,5448.397117177985,5550.423389672002,5573.894799876522,2889,4297,5685,6774
内蒙古通辽,834.3754235254735,574.3720183517844,666.4412269291726,702.6218530444893,779.4830302239403,792.6565474154961,945.7256908312194,1108.5315363480513,1656.1111702259882,1942.6104059900997,2293.1578552315045,2655.5459580210536,2818.0751388425842,3228.827311567281,3851.51931482,3842.6238111712687,3858.7194135742543,3919.954208487239,3833.3347224370364,3882.690192879857,3933.707941859115,1808,3910,7420,7811
内蒙古鄂尔多斯,1109.0679421404036,771.8190419965265,933.125184313281,965.2516425937497,1113.6634315711262,1156.6218036145904,1464.9762113749127,1862.606561133715,2911.064922848917,3800.974851448722,4533.8133885127045,5553.454662992168,5954.239717143377,7351.391048811893,9873.070281030003,10666.804921996545,10800.970345586722,10847.945711525801,10385.938540791964,10478.637082673351,10454.427613217318,4799,14912,12816,21424
内蒙古锡林郭勒,394.0981554329091,274.96411035389394,328.9404776933279,377.4515992569734,432.91822630871604,463.4083423946939,596.3898357030873,730.469429338871,1193.146450554282,1431.9435699744658,1813.5003145520054,2206.302967089203,2483.060904034655,2963.7017923741882,3765.0688968816744,3915.2762980805355,3966.6584121393544,3974.4942881147304,3795.8452298125762,3816.3511025204384,3805.956446421492,1245,3455,5746,6101
内蒙古阿拉善,235.56062142832212,158.82745840386087,196.0153953426304,205.857797785989,234.86701921502532,244.7403744603069,317.57805011648304,403.15802189793675,604.9813785418482,715.2188812948068,843.9602181867913,983.9517216019656,1054.559819961203,1242.935201457504,1541.0883397872879,1591.713507526798,1622.6202230148278,1618.6244220211179,1542.738315723541,1545.751113508084,1537.9101430763571,704,1494,1441,2651
北京,4245.576530010709,4156.767913483275,4294.93898404403,4552.773703318174,4412.167438957135,4812.877020762302,5515.5734728099915,6010.8232423099125,6706.433444778762,7479.318070750449,7654.082105379197,7823.019966904868,8642.823788529458,9090.722066082724,8072.4158611877665,8337.360029918287,6650.234371623607,6765.9405975302225,6359.033976813985,6741.650885676672,6008.643229951215,10314,11593,10631,8994
吉林吉林,1678.5009710368481,1619.3486394486629,1672.459176550929,1785.197779402009,1695.441682451725,1838.040430766471,2112.151471805913,2297.133279703444,2587.70991319902,2848.377823471699,2936.3026453225293,3079.3369089120392,3399.482501840049,3662.607898541765,3856.079190090158,3964.5932160242564,3828.6365346080247,3913.145451028014,3587.626509412349,3687.350911196523,3774.477599172105,3374,5488,6188,5123
吉林四平,1345.0480158913624,1288.3976248725185,1318.401920378422,1383.4404412366596,1313.698882301321,1414.185188564562,1619.5342413543863,1755.1387351595451,1969.1457764439542,2156.8987253966006,2197.170430899433,2286.0975307839753,2509.3246318758447,2714.289846505489,2859.241853714777,2940.1566344653793,2851.5959686831748,2907.401236006476,2643.369422379138,2698.094506446332,2757.999672566868,2219,2272,2195,2784
吉林延边,901.9528227707315,877.0976106945539,896.6913808663417,1001.4883187352183,952.4099006958459,1034.9620109136556,1189.6699299374084,1292.680938190225,1474.371440489211,1637.048871557341,1726.443073461951,1806.2335994692448,1993.9522759477059,2141.578016324593,2266.762165713165,2344.366663525582,2306.495552299086,2328.6144681685782,2108.4145483967322,2154.869819995686,2193.258081127533,1149,1582,1537,1051
吉林松原,657.8335759156959,637.0325503096095,655.4149637368549,702.0742852989149,668.8009244255536,726.9788577602728,839.5304530216031,917.2272054300381,1057.120364196228,1193.976564683926,1280.59093840172,1365.6660531153188,1518.621974578195,1640.173406581662,1736.095580007711,1776.7294866981629,1721.4541223346,1759.88888247204,1620.2310497964509,1679.780917272921,1766.936449086183,1540,1249,1743,1299
吉林白城,478.53089740917477,465.4010444621513,477.3589798293599,508.9292683188967,493.7844788888047,550.8405360783956,644.4556656100724,703.9174105141433,805.96699530621,891.7082041066728,914.768189897427,946.31793236968,1044.0695171739271,1128.357155520395,1208.074977278075,1247.8485841802972,1234.0383633873312,1255.578445670493,1150.087127057799,1171.9211423392142,1197.411934839529,443,663,1113,1454
吉林白山,547.933262783267,532.5882925428264,546.1347445291781,589.367101609966,559.9673242077969,607.7210253053794,695.4168522119896,753.0936207193049,860.590653798381,976.3649979605141,1020.9407106508199,1073.6344860194165,1170.0464202405549,1264.4956270539917,1328.540702204838,1363.0829212360586,1345.951586987723,1364.0481150052158,1233.9352093430657,1257.7494529046821,1284.8096218759158,840,1648,2773,861
吉林辽源,470.3320481816295,449.2934776794588,454.30054917481493,474.441890795126,449.3906061811354,483.543906842409,554.165984131686,602.961254698353,681.764836741729,758.061741624799,775.5997734421729,805.124745550886,878.828403513918,941.520073168633,995.551094651021,1028.796200594657,994.5348011326851,1036.486804194281,958.145311025725,993.565875581804,1012.539688731805,608,1178,653,1093
吉林通化,742.2837081529349,721.3281870246573,749.6843728897181,814.6048119601397,782.9751409088923,868.6423451102461,1027.4029684078068,1135.5725263659426,1296.4253199960956,1442.5637966540376,1515.1244367619968,1590.6790824395814,1741.4911802719039,1861.787517666843,1975.704038373333,2012.555319794325,1960.67264613372,2021.4724901257182,1844.815210264047,1882.220865935034,1976.6808874268759,1121,2487,1884,2212
吉林长春,2493.363354191979,2417.2302564112233,2504.940818589638,2761.2278575861,2636.020634614784,2846.772888349618,3291.029353755847,3571.8337054710037,4086.822819537729,4561.061450461514,4720.103634460181,4938.245710074587,5482.5824600652395,6020.254306348988,6320.665333009172,6515.672324508795,6308.399838059201,6523.8814290113105,6171.717979713139,6425.423040854737,6805.321685285457,3957,4783,5781,6766
四川乐山,419.5468606694203,417.2803244156885,428.17064538390593,468.12574753341386,465.741886594191,540.5345559970447,616.7737428223766,709.9108289385239,802.71640679962,881.8789753461033,889.8729369184995,927.6188931092195,1006.6111302046984,1080.7887277310801,1185.480638654519,1200.6661890123612,1218.3930709485605,1227.9284474873648,1131.3410730059522,1172.861188560108,1205.702428852871,1463,2779,2687,3411
四川内江,364.1881119805061,345.257566282647,343.3208863469419,360.075887528595,364.6502392986675,411.5575062210791,487.5627073805789,528.4650321856835,598.5160250968815,656.4160616771171,664.007962287733,694.068780949211,753.1150015768089,800.8914950517019,872.552258615352,897.502524441424,896.570462745685,953.518606405085,899.3071878235569,941.5804513122171,971.175923328386,1678,2275,3888,2372
四川凉山,418.0798089194161,418.912876545641,467.5216423139162,504.1875237787528,509.78009068631934,594.9971801684519,717.8045742932587,824.9703371737784,1036.610659295478,1198.9407287002227,1299.3445136626003,1439.3443465485866,1587.831535622232,1753.2679696918428,2034.1038967551185,2137.259519871765,2108.5849860759417,2130.233482442704,1957.3906759322492,1982.50995946903,2016.0982144541663,542,892,1374,2282
四川南充,410.2954526949066,425.4702942676136,460.8703963681703,494.8672750722187,490.45593796005016,548.7687558251063,692.2786179909447,766.4598765212334,887.396419175436,1012.1544917008185,1071.1785213407381,1126.2068692413657,1229.0484221433712,1353.945613343773,1542.2402826926643,1581.1251593524987,1557.72275665699,1585.1302330019876,1527.5536584779506,1569.1164413953888,1623.595150560182,207,534,679,683
四川宜宾,307.18267255179103,312.3344316619519,316.84839750311727,361.9453560191494,351.7840296428736,379.3831328188386,437.3861317730443,486.4002657340849,566.3504866094668,648.2964969404852,676.6818216339284,712.2536569245297,776.3473409570712,824.3962950791158,928.5563023732857,951.5672555135457,978.6320611825713,983.8527715921396,914.431526799297,943.7890425889321,967.0494352565304,1435,1805,2688,2129
四川巴中,86.2267151022572,84.7022463423343,90.8120312990869,109.21489109313521,109.98373813871679,137.3637347860278,163.3209416510841,176.7384053852309,203.4893540098584,222.9980458025085,250.1900187937823,266.80028287638737,290.1158976155704,315.6297136034035,358.3795957170948,420.7626180073618,453.781639426911,462.13076099353293,430.4731798870311,446.8049168146029,460.02239389780243,458,209,358,593
四川广元,468.9775226950543,429.55167459249367,421.6518943773183,442.2512198742853,411.4951648021954,434.3032125362498,509.98262917707984,556.3170977773796,631.7311758928338,692.9903510488218,713.3520083301264,759.8462925837848,845.5088619135578,1073.4866850755056,1192.0067297039984,1232.246709233091,1227.8477975600863,1256.3258104751624,1166.0692109339748,1180.5089427432922,1203.250545778893,785,763,1121,1030
四川广安,269.69800334761544,276.2822387921825,280.3857902467581,295.9991776711735,287.4281431213259,369.3191108067635,482.6212888486042,523.1843046899658,592.7939450922793,644.3454587427486,659.4789750862095,690.5687629790655,748.0895664626395,799.508859755973,878.1989473248282,893.7707052129775,881.099091926822,924.2681826289929,900.617424337551,936.513315289174,962.219715480114,1305,1843,2319,2020
四川德阳,939.3023378135812,867.0484362174191,889.7830134113626,922.9484656630249,867.4011073352007,951.9141628391224,1101.7386758890034,1195.526529444674,1358.570770323721,1521.548434753917,1584.378514635839,1677.193393824101,1827.734274187203,2030.96162736865,2272.329362227916,2309.762863706712,2256.603481161661,2308.149411945999,2110.660512838665,2176.440837494339,2233.914368510686,556,1426,1358,968
四川成都,2937.875918793089,2778.7125619866847,2993.3521644517514,3250.003236463888,3217.074017042623,3573.8968673487425,4183.856716006702,4559.259417459429,5181.055647245008,5993.616201795313,6331.633679999441,6721.175812886265,7356.042436503038,8235.580724310796,8948.520505844199,9063.795894310917,9001.2616375844,9103.053658196312,8394.929175682257,8687.911727906396,8845.329448425888,3105,4030,7084,4278
四川攀枝花,1084.7500398853751,1000.5912004474794,1044.855090202217,1078.033069140351,1029.49547840414,1092.429258053173,1277.3425721767098,1416.019534080132,1656.186647486224,1859.815301371114,1911.963080849187,2010.494018133244,2179.844268907901,2302.001352684755,2489.4954558743852,2524.342469342394,2448.457526900823,2554.181130521435,2352.548725012312,2381.560713138018,2419.750232496044,4169,2669,2034,2680
四川泸州,255.2071248373751,277.0440964528263,283.3536768839033,304.4524264980303,295.8483073555229,358.4926628846823,412.3684356625918,453.6899308463276,518.5084804171336,565.7959195272027,583.7280117317132,612.0085770187426,663.7281638903424,709.2919067095783,780.0298755805496,791.0057332096272,799.5803486063857,833.0943336740222,786.3192713651205,842.5703904879249,867.3207210736078,655,1760,1837,1362
四川甘孜,55.53839467871074,57.49304817647042,71.60026812113595,93.09411508038019,111.99563778759565,139.29521375804225,166.14460938364076,197.61991068258075,254.51405558936833,310.10212643700584,350.412122672635,391.2030955108929,439.066499032282,500.6003917603058,639.2792168467661,682.3164981811176,689.6974254513699,688.6776650603915,628.0121729822293,632.162935501745,640.9808743467192,140,147,256,113
四川眉山,298.5899408731978,303.40981335154885,325.805055390217,365.2507930604204,360.9990176395908,404.2382174850246,471.1571978544237,530.9997813836268,610.6034958758365,671.7127416720227,703.6000762107196,742.7266394689455,809.3422059279741,882.8990510296986,978.034255081742,999.5211325990858,1002.2914966745735,1019.2954271748463,978.9849770941901,1067.5353442085673,1105.2738598456533,1023,1074,1070,942
四川绵阳,1019.4213272627626,967.8857394441101,1046.4450294721164,1101.4149721454057,1047.4783660311575,1133.701913981482,1281.2957070022892,1378.239700796488,1552.579755095181,1691.6243175408745,1718.7141188874486,1804.8679623872201,1966.8811579221724,2166.1574348792647,2395.8622488311603,2452.271710493018,2425.4314223780134,2495.750781751769,2319.4225123170722,2376.1140860680334,2451.318911376346,1359,1916,1572,1704
四川自贡,227.2133822607743,215.5512995579739,212.4423854463903,224.959375030092,224.63706588223909,258.5640402799346,292.9555272527656,315.4857483869876,360.761907982536,393.0739285894665,401.7284695931115,419.6217196815277,455.5021433810839,515.4205138364134,567.6773526372414,577.4523778617668,571.0835825067618,588.555356328856,541.0716991934449,558.8824862334056,571.9418787005632,302,964,494,619
四川资阳,225.47687202607574,214.8982787059933,223.8899481896656,249.5875903621832,261.39766489879287,298.210187600231,350.2477455463427,388.87277278461147,449.06477574588195,509.86516779227657,539.2781937941895,564.9485527897263,617.8813664963156,668.417750779556,803.4960327584605,862.4234236940264,899.9180692971335,953.7896712241,888.3538488399896,924.9188614941214,956.09556212372,333,379,611,341
四川达州,421.4929497255468,408.0291956792955,402.0956413575557,412.4210052641292,385.39017185192586,430.1098700312182,528.1952860520706,584.5916215687339,701.6150405644394,800.82832020722,866.8262359172038,918.2221057328507,1030.502543042554,1139.5939351526044,1251.3895298208813,1277.1218354551622,1262.2286216020013,1288.113798294789,1208.9349111363535,1240.211267706131,1313.1258024590102,996,2906,2159,2493
四川遂宁,242.78209470979252,238.21656496213845,251.10440869277684,280.7453985380963,289.9119673792009,355.6208586236608,443.96527758990146,507.5835268883327,618.7295266516056,712.4555575826238,784.062647218413,819.8031221593144,889.1312863881983,951.2098761093677,1058.892986028115,1078.822291203577,1064.946024698327,1100.940400442651,1052.2183056252188,1074.5125457974082,1110.842228666123,266,357,427,384
四川阿坝,68.3825774491512,75.58716461676995,105.49247055782465,148.20279193238645,158.7163700782295,185.26949613138635,249.18867739813564,299.3116344572482,363.8430279850142,410.5454919959703,448.58887749273504,477.56223455686495,520.5856473186957,587.3175492143824,668.2069253994183,700.835651102284,701.9116655715244,701.4883980571959,639.541352540739,643.3615461247607,651.1218715148617,206,238,249,203
四川雅安,165.14811128612882,163.69056022983736,169.69951807392843,188.9517862772326,184.871039513656,209.3367406905663,239.1081835929079,258.8159984615201,298.0560371628588,333.6271153391235,360.1275307017073,396.56725348687587,437.4600074793912,480.12010644230196,521.022744283525,525.9999202495579,516.8885467143742,531.3130645997492,502.45746941771,516.892637418003,531.1692729597537,310,396,564,581
天津,5293.090299569552,5101.316520247374,5266.434068936008,5558.725039669322,5353.152244344457,5776.24903529589,6635.197835821674,7254.194439992472,8300.215923026377,9318.204867858327,9752.843650763725,10301.775244190725,11325.33213337133,12387.877583701353,13828.823451938199,14183.998647714941,14558.70624121016,14885.315031941835,13688.826265430325,14087.495771311238,15004.842374168104,10120,15017,17758,16885
宁夏中卫,389.5416819884801,370.8871920443939,378.5521604356573,395.3549942412261,396.1356340825384,430.5385378915819,479.2684499048754,524.6343112866855,624.2883274996746,779.7957059807508,851.1303355353675,932.6916747343764,994.7833821428843,1154.3285025660728,1690.137549986298,1697.051861722008,2050.519025245165,2105.753585990118,1942.51877890247,1991.599365935188,2425.710109046514,855,1585,1364,2102
宁夏吴忠,681.1723037193174,642.9547013190372,674.3111847512284,713.276016557454,705.5600649336216,737.7365839684101,794.07192475546,845.484819093831,972.0329173862141,1039.6206313087691,1133.964663735343,1270.9181957368592,1380.5363948448098,1622.114581565364,2425.6998874159463,2513.963562670157,3081.789490911422,3207.947284589126,2948.917163186175,3004.69472349634,3576.880109934781,1807,3234,3293,3753
宁夏固原,232.4180130317847,219.7850026929738,230.4940498332364,240.66894227158943,242.46425047629322,291.1788236643025,326.575537565584,357.6838922703437,424.317333761903,472.31267614283945,509.3776626081779,585.426006704371,645.47385799258,777.9846491158432,1158.5092589206818,1216.680510854866,1480.197187003864,1548.177383871078,1440.135283344524,1473.4394061515661,1785.107638905096,127,174,691,644
宁夏石嘴山,615.595191973918,573.488433832902,581.133824778793,599.905405984041,579.66897821862,595.343495857069,668.706070359079,731.0943981317171,841.1823323534541,922.224438516045,973.8276242203531,1062.735340759237,1143.860144786594,1294.996089442454,1828.293762199432,1801.846161224442,2144.799517006218,2273.728884779396,2091.580283970564,2127.7215505165213,2526.913182303781,2742,3410,6766,3728
宁夏银川,1278.270658714788,1207.720679008944,1238.146474463945,1275.841617958869,1237.425124594517,1281.738346647306,1490.63413452779,1632.118994697023,1959.218916285476,2182.677000553826,2338.6050676339883,2622.447222191816,2849.0100643306623,3309.7938609053626,4770.6000131586425,4801.349314086624,5722.165951789826,5860.847707271578,5373.294793909662,5474.112271861475,6542.233185563218,1452,3801,11436,13551
